,year,GeoLocation
1616,2010.0,Oman
1617,2007.0,China
1618,2007.0,China
1626,1996.0,Mexico
1635,1998.0,United States
1636,2011.0,United States
1640,2006.0,Ocean
1641,2006.0,Ocean
1642,2006.0,Ocean
1643,2006.0,Ocean
1644,2006.0,Ocean
1645,2006.0,Ocean
1646,2006.0,Ocean
1647,2006.0,Ocean
1648,2006.0,Ocean
1649,2006.0,Ocean
1650,2006.0,Ocean
1651,2006.0,Ocean
1652,2009.0,Ocean
1653,2009.0,Ocean
1654,2009.0,Ocean
1803,1996.0,Ethiopia
2367,1990.0,Ocean
2368,1990.0,Ocean
2369,1990.0,Ocean
2370,1990.0,Ocean
2371,1990.0,Ocean
2372,1990.0,Ocean
2373,1990.0,Ocean
2374,1990.0,Ocean
2375,1990.0,Ocean
2376,1990.0,Ocean
2377,1990.0,Ocean
2378,1990.0,Ocean
2379,1990.0,Ocean
2380,1990.0,Ocean
2381,1990.0,Ocean
2382,1994.0,Ocean
2383,1994.0,Ocean
2384,1994.0,Ocean
2385,1994.0,Ocean
2386,1994.0,Ocean
2387,1994.0,Ocean
2388,1994.0,Ocean
2389,1994.0,Ocean
2390,1994.0,Ocean
2391,1994.0,Ocean
2392,1994.0,Ocean
2393,1994.0,Ocean
2394,1994.0,Ocean
2395,1994.0,Ocean
2396,1994.0,Ocean
2397,1994.0,Ocean
2398,1994.0,Ocean
2399,1994.0,Ocean
2400,1994.0,Ocean
2401,1994.0,Ocean
2402,1995.0,Ocean
2403,1995.0,Ocean
2404,1995.0,Ocean
2405,1995.0,Ocean
2406,1995.0,Ocean
2407,1995.0,Ocean
2408,1995.0,Ocean
2409,1995.0,Ocean
2410,1995.0,Ocean
2411,1995.0,Ocean
2412,1997.0,Ocean
2413,1997.0,Ocean
2414,1997.0,Ocean
2415,1997.0,Ocean
2416,1997.0,Ocean
2417,1997.0,Ocean
2418,1997.0,Ocean
2419,1997.0,Ocean
2420,1997.0,Ocean
2421,1997.0,Ocean
2422,1997.0,Ocean
2423,1997.0,Ocean
2424,2000.0,Ocean
2425,1999.0,Ocean
2426,1999.0,Ocean
2427,1999.0,Ocean
2428,1999.0,Ocean
2429,1999.0,Ocean
2430,1999.0,Ocean
2431,1999.0,Ocean
3410,1992.0,Morocco
3414,1991.0,Algeria
3422,2006.0,Morocco
3425,2012.0,United States
3427,2011.0,United States
3430,2000.0,Morocco
3443,2001.0,India
3447,2001.0,United States
3448,1999.0,Niger
3451,1999.0,United States
3453,2002.0,Niger
3461,1999.0,Namibia
3467,2008.0,Libya
3468,2008.0,Libya
3469,2008.0,Libya
3470,2008.0,Libya
3471,2010.0,Libya
3473,2002.0,Niger
4986,1990.0,Ocean
4987,1990.0,Ocean
4988,1990.0,Ocean
4989,1990.0,Ocean
4990,1990.0,Ocean
4991,1990.0,Ocean
4992,1990.0,Ocean
4993,1990.0,Ocean
4994,1990.0,Ocean
4995,1990.0,Ocean
4996,1990.0,Ocean
4997,1990.0,Ocean
5000,1996.0,United States
5003,2010.0,United States
5011,2002.0,Oman
5015,1999.0,France
5033,1994.0,United States
5035,2002.0,Mongolia
5037,2000.0,Ocean
5038,2000.0,Ocean
5039,2000.0,Ocean
5040,2000.0,Ocean
5041,2000.0,Ocean
5042,2000.0,Ocean
5043,2000.0,Ocean
5044,2000.0,Ocean
5045,2000.0,Ocean
5046,2000.0,Ocean
5047,2000.0,Ocean
5054,2007.0,Russia
5056,1994.0,Uruguay
5062,1998.0,Algeria
5063,1998.0,Algeria
5064,1992.0,Ocean
5065,1992.0,Ocean
5068,1999.0,United States
5079,1991.0,Algeria
5086,2011.0,Czechia
5087,2011.0,Czechia
5088,1998.0,Morocco
5093,2002.0,Canada
5097,2001.0,Kazakhstan
5098,2009.0,Australia
5099,2011.0,Australia
5100,2011.0,Australia
5101,2011.0,Australia
5102,2006.0,United States
5112,1993.0,Algeria
5113,1998.0,Libya
5114,2008.0,Tunisia
5115,2008.0,Tunisia
5116,2008.0,Tunisia
5117,2008.0,Tunisia
5118,2008.0,Tunisia
5119,2008.0,Tunisia
5120,2008.0,Tunisia
5121,2008.0,Tunisia
5122,2008.0,Tunisia
5128,2003.0,United States
5130,1998.0,United States
5133,2002.0,Chile
5136,2006.0,United States
5138,2002.0,United States
5140,2000.0,United States
5141,1999.0,United States
5143,1999.0,United States
5144,1999.0,United States
5145,1999.0,United States
5146,1999.0,United States
5147,1999.0,United States
5148,2001.0,United States
5149,2006.0,United States
5150,1999.0,United States
5151,1999.0,United States
5152,1999.0,United States
5153,1999.0,United States
5154,1999.0,United States
5155,1999.0,United States
5156,1999.0,United States
5157,2009.0,United States
5172,1998.0,United States
5173,1998.0,United States
5179,2010.0,Morocco
5181,2001.0,Morocco
5182,2010.0,Morocco
5183,2010.0,Morocco
5184,2010.0,Morocco
5185,2010.0,Morocco
5186,2009.0,Morocco
5187,2008.0,United States
5189,2004.0,United States
5209,1994.0,Australia
5218,1998.0,United States
5221,2004.0,United States
5222,2004.0,United States
5223,2004.0,United States
5224,2005.0,United States
5225,2005.0,United States
5226,2007.0,United States
5259,2003.0,United States
5261,2002.0,United States
5262,1997.0,Ethiopia
5269,2003.0,United States
5272,1992.0,Canada
5284,2010.0,Chile
5285,2010.0,Chile
5286,2010.0,Chile
5287,2010.0,Chile
5288,2010.0,Chile
5289,2010.0,Chile
5290,2010.0,Chile
5291,2010.0,Chile
5292,2010.0,Chile
5293,2010.0,Chile
5294,2010.0,Chile
5295,2010.0,Chile
5296,2010.0,Chile
5297,2010.0,Chile
5298,2010.0,Chile
5299,2010.0,Chile
5300,2010.0,Chile
5301,2010.0,Chile
5302,2010.0,Chile
5309,1990.0,Australia
5310,1990.0,Australia
5311,1992.0,Australia
5312,1992.0,Australia
5314,1993.0,Australia
5315,1993.0,Australia
5316,1993.0,Australia
5317,1993.0,Australia
5318,1993.0,Australia
5319,1993.0,Australia
5320,1993.0,Australia
5321,1993.0,Australia
5322,1993.0,Australia
5323,1994.0,Australia
5324,1994.0,Australia
5325,1994.0,Australia
5326,1994.0,Australia
5327,1994.0,Australia
5328,1994.0,Australia
5329,1994.0,Australia
5330,1994.0,Australia
5331,1994.0,Australia
5332,1994.0,Australia
5333,1994.0,Australia
5334,1994.0,Australia
5335,1994.0,Australia
5336,1994.0,Australia
5337,1994.0,Australia
5338,1994.0,Australia
5339,1994.0,Australia
5340,1994.0,Australia
5341,1994.0,Australia
